Crypto,Date,Time - 24 Hour Format,Time - 12 Hour Format,volume,open,Close Minus Open,Adj Close Minus Open,Close Minus Adj Close,High Minus Open,High Minus Close,High Minus Adj Close,High Minus Low,close,adj_close,high,low,Trade Impact
OBI-USD,05-04-2024,00:00:00,12:00 AM,813739,0.027172999,0.000435,0.000435,0,0.002213001,0.001778001,0.001778001,0.004074,0.027608,0.027608,0.029386001,0.025312001,Positive Impact
BAKE-USD,05-03-2024,00:00:00,12:00 AM,99769907,0.436080009,-0.059927016,-0.059927016,0,0.031892985,0.091820002,0.091820002,0.160570979,0.376152992,0.376152992,0.467972994,0.307402015,Negative Impact
NFE,19-12-2022,14:30:00,2:30 PM,2210800,44.20999908,-1.319999695,-5.516365051,4.196365356,0.270000458,1.590000153,5.786365509,1.880001068,42.88999939,38.69363403,44.47999954,42.59999847,Negative Impact
GOLD,13-06-2017,13:30:00,1:30 PM,8257700,16.31999969,0.010000229,-2.350790024,2.360790253,0.120000839,0.11000061,2.470790863,0.239999771,16.32999992,13.96920967,16.44000053,16.20000076,Positive Impact
BLY-USD,16-01-2025,00:00:00,12:00 AM,426076,0.004684,2.30E-05,2.30E-05,0,0.000178,0.000155,0.000155,0.000319,0.004707,0.004707,0.004862,0.004543,Negative Impact
VLINK-USD,23-02-2024,00:00:00,12:00 AM,211093892,375.3280494,0,0,0,0,0,0,0,375.659451,375.627867,400.8335999,365.791182,No Impact
MIR7857-USD,21-01-2024,00:00:00,12:00 AM,192832,0.020501999,-0.000154,-0.000154,0,0.000502001,0.000656001,0.000656001,0.000782,0.020347999,0.020347999,0.021004001,0.020222001,Negative Impact
MOBILE-USD,17-04-2024,00:00:00,12:00 AM,4542797,0.00215,-6.00E-06,-6.00E-06,0,0.000124,0.00013,0.00013,0.000197,0.002144,0.002144,0.002274,0.002077,Negative Impact
GEMS31750-USD,12-10-2024,00:00:00,12:00 AM,8302947,0.229293004,-0.017361,-0.017361,0,0.000276998,0.017637998,0.017637998,0.020299003,0.211932003,0.211932003,0.229570001,0.209270999,Negative Impact
GOLD,21-01-2025,14:30:00,2:30 PM,17582500,15.94999981,0.029999733,0.029999733,0,0.269999504,0.239999771,0.239999771,0.349999428,15.97999954,15.97999954,16.21999931,15.86999989,Positive Impact
DEFIT-USD,10-06-2024,00:00:00,12:00 AM,7098,0.217758998,0.005581006,0.005581006,0,0.006710008,0.001129001,0.001129001,0.008634001,0.223340005,0.223340005,0.224469006,0.215835005,Positive Impact
VBTC-USD,06-04-2023,00:00:00,12:00 AM,211093892,375.3280494,0,0,0,0,0,0,0,375.659451,375.627867,400.8335999,365.791182,No Impact
RLC-USD,14-12-2020,00:00:00,12:00 AM,1348915,0.894074023,0.025584996,0.025584996,0,0.029191971,0.003606975,0.003606975,0.05825597,0.919659019,0.919659019,0.923265994,0.865010023,Positive Impact
MX-USD,21-11-2019,00:00:00,12:00 AM,13118328,0.116518997,-0.009786993,-0.009786993,0,0.006124005,0.015910998,0.015910998,0.018335,0.106732003,0.106732003,0.122643001,0.104308002,Negative Impact
SAITO-USD,10-01-2022,00:00:00,12:00 AM,5855488,0.069119997,0.004799999,0.004799999,0,0.007408001,0.002608001,0.002608001,0.013127998,0.073919997,0.073919997,0.076527998,0.0634,Positive Impact
WBNB-USD,01-12-2020,00:00:00,12:00 AM,116501,32.56508255,-2.355100632,-2.355100632,0,0.939990997,3.295091629,3.295091629,4.095975876,30.20998192,30.20998192,33.50507355,29.40909767,Negative Impact
KISHU-USD,08-06-2024,00:00:00,12:00 AM,1000942,0,0,0,0,0,0,0,0,0,0,0,0,No Impact
SWFTC-USD,03-10-2024,00:00:00,12:00 AM,1460303,0.00313,-9.20E-05,-9.20E-05,0,3.70E-05,0.000129,0.000129,0.000167,0.003038,0.003038,0.003167,0.003,Negative Impact
NMC-USD,17-03-2021,00:00:00,12:00 AM,135011,1.528311014,-0.021813035,-0.021813035,0,0.066599011,0.088412046,0.088412046,0.247371078,1.506497979,1.506497979,1.594910026,1.347538948,Negative Impact
SFUND-USD,13-07-2021,00:00:00,12:00 AM,735762,0.564854026,-0.021534026,-0.021534026,0,0.006898999,0.028433025,0.028433025,0.038244009,0.54332,0.54332,0.571753025,0.533509016,Negative Impact
FOXSY-USD,10-02-2025,00:00:00,12:00 AM,1890484,0.040662002,0.000461999,0.000461999,0,0.001597997,0.001135997,0.001135997,0.002297997,0.041124001,0.041124001,0.042259999,0.039962001,Positive Impact
DEFIT-USD,06-02-2025,00:00:00,12:00 AM,1194,0.074781999,-0.003247999,-0.003247999,0,0.001428999,0.004676998,0.004676998,0.004676998,0.071534,0.071534,0.076210998,0.071534,Negative Impact
GO-USD,09-10-2019,00:00:00,12:00 AM,2278305,0.011024,-0.000458,-0.000458,0,0.00024,0.000698,0.000698,0.001585,0.010566,0.010566,0.011264,0.009679,Negative Impact
ZKML-USD,14-12-2024,00:00:00,12:00 AM,211866,0.557152987,-0.016237974,-0.016237974,0,0.015866995,0.032104969,0.032104969,0.043384969,0.540915012,0.540915012,0.573019981,0.529635012,Negative Impact
MBL-USD,08-04-2021,00:00:00,12:00 AM,78864961,0.019255999,0.00602,0.00602,0,0.006413,0.000393,0.000393,0.006413,0.025276,0.025276,0.025668999,0.019255999,Positive Impact
REVV-USD,20-10-2024,00:00:00,12:00 AM,580396,0.004015,6.50E-05,6.50E-05,0,0.000158,9.30E-05,9.30E-05,0.000162,0.00408,0.00408,0.004173,0.004011,Negative Impact
BFG-USD,30-10-2024,00:00:00,12:00 AM,1457,0.022693999,-2.50E-05,-2.50E-05,0,1.80E-05,4.30E-05,4.30E-05,0.000125,0.022669001,0.022669001,0.022712,0.022586999,Negative Impact
ELA-USD,12-06-2019,00:00:00,12:00 AM,5970602,3.699393034,-0.076467991,-0.076467991,0,0.127534866,0.204002857,0.204002857,0.402586937,3.622925043,3.622925043,3.8269279,3.424340963,Negative Impact
ZRX-USD,04-08-2023,00:00:00,12:00 AM,12882171,0.220410004,-0.004165009,-0.004165009,0,0.001806989,0.005971998,0.005971998,0.008733988,0.216244996,0.216244996,0.222216994,0.213483006,Negative Impact
BTM-USD,04-06-2023,00:00:00,12:00 AM,165460,0.020914,-1.10E-05,-1.10E-05,0,0.000134001,0.000144999,0.000144999,0.000260999,0.020903001,0.020903001,0.021048,0.020787001,Negative Impact
GOLD,29-01-2018,14:30:00,2:30 PM,10507600,14.64000034,-0.289999962,-2.317581177,2.027581215,0.009999275,0.299999237,2.327580452,0.329999924,14.35000038,12.32241917,14.64999962,14.31999969,Negative Impact
OVR-USD,02-10-2024,00:00:00,12:00 AM,261629,0.156990007,-0.002078012,-0.002078012,0,0.000721991,0.002800003,0.002800003,0.003816992,0.154911995,0.154911995,0.157711998,0.153895006,Negative Impact
PEEZY-USD,25-07-2024,00:00:00,12:00 AM,9010,0.001673,-6.00E-05,-6.00E-05,0,4.00E-06,6.40E-05,6.40E-05,0.000208,0.001613,0.001613,0.001677,0.001469,Negative Impact
XVG-USD,08-04-2018,00:00:00,12:00 AM,64043900,0.064303003,0.003454,0.003454,0,0.004340999,0.000886999,0.000886999,0.006860003,0.067757003,0.067757003,0.068644002,0.061783999,Positive Impact
MBL-USD,15-11-2021,00:00:00,12:00 AM,11941073,0.009868,0.000124,0.000124,0,0.000196001,7.20E-05,7.20E-05,0.000399,0.009992,0.009992,0.010064,0.009665,Positive Impact
BRICK27615-USD,01-06-2024,00:00:00,12:00 AM,156244,0.114477001,0.013686992,0.013686992,0,0.026421003,0.012734011,0.012734011,0.030969001,0.128163993,0.128163993,0.140898004,0.109929003,Positive Impact
AMPL-USD,05-04-2020,00:00:00,12:00 AM,703511,1.221269011,0.036965013,0.036965013,0,0.040872931,0.003907919,0.003907919,0.046316981,1.258234024,1.258234024,1.262141943,1.215824962,Positive Impact
BANANA28066-USD,17-07-2024,00:00:00,12:00 AM,3471537,55.80443573,-0.146221161,-0.146221161,0,5.061435699,5.20765686,5.20765686,5.367362976,55.65821457,55.65821457,60.86587143,55.49850845,Negative Impact
ONG3217-USD,16-04-2020,00:00:00,12:00 AM,11899521,0.080294997,0.003924005,0.003924005,0,0.004727006,0.000803001,0.000803001,0.005764,0.084219001,0.084219001,0.085022002,0.079258002,Positive Impact
MTD21418-USD,30-11-2024,00:00:00,12:00 AM,3334,0.027480001,-0.000758,-0.000758,0,3.00E-06,0.000760999,0.000760999,0.000962,0.026722001,0.026722001,0.027482999,0.026520999,Negative Impact
BTCB20721-USD,10-09-2023,00:00:00,12:00 AM,3498500,25928.96875,-147.0214844,-147.0214844,0,59.1640625,206.1855469,206.1855469,364.5429688,25781.94727,25781.94727,25988.13281,25623.58984,Negative Impact
CGPT-USD,24-01-2025,00:00:00,12:00 AM,42870315,0.26452899,-0.022149995,-0.022149995,0,0.005549997,0.027699992,0.027699992,0.029405981,0.242378995,0.242378995,0.270078987,0.240673006,Negative Impact
DEAI-USD,20-03-2025,00:00:00,12:00 AM,1431982,0.063446,0.000683002,0.000683002,0,0.001289003,0.000606,0.000606,0.003511004,0.064129002,0.064129002,0.064735003,0.061223999,Positive Impact
TFUEL-USD,31-10-2019,00:00:00,12:00 AM,1420380,0.003436,-3.50E-05,-3.50E-05,0,6.20E-05,9.70E-05,9.70E-05,0.000227,0.003401,0.003401,0.003498,0.003271,Negative Impact
BURGER-USD,18-01-2024,00:00:00,12:00 AM,3482532,0.49525699,-0.026661992,-0.026661992,0,0.008605987,0.035267979,0.035267979,0.046133965,0.468594998,0.468594998,0.503862977,0.457729012,Negative Impact
MNFT17543-USD,19-11-2023,00:00:00,12:00 AM,262052,1.40E-05,0,0,0,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.40E-05,1.40E-05,1.50E-05,1.40E-05,No Impact
PAID-USD,01-04-2022,00:00:00,12:00 AM,506536,0.249924004,-0.012045011,-0.012045011,0,0.003596008,0.015641019,0.015641019,0.016192019,0.237878993,0.237878993,0.253520012,0.237327993,Negative Impact
FIO-USD,22-08-2021,00:00:00,12:00 AM,7155982,0.231462002,-0.001971006,-0.001971006,0,0.006504998,0.008476004,0.008476004,0.015469,0.229490995,0.229490995,0.237966999,0.222498,Negative Impact
SOL16116-USD,26-03-2023,00:00:00,12:00 AM,34034047,20.43832779,0.562562943,0.562562943,0,0.63942337,0.076860428,0.076860428,0.727565765,21.00089073,21.00089073,21.07775116,20.35018539,Positive Impact
X33108-USD,23-01-2025,00:00:00,12:00 AM,70113397,0.00011,1.00E-06,1.00E-06,0,3.00E-06,2.00E-06,2.00E-06,6.00E-06,0.000111,0.000111,0.000113,0.000107,Negative Impact
CHAT29478-USD,11-07-2024,00:00:00,12:00 AM,2672642,1.732388973,-0.112138987,-0.112138987,0,0.104500055,0.216639042,0.216639042,0.220999002,1.620249987,1.620249987,1.836889029,1.615890026,Negative Impact
FLUX-USD,10-02-2022,00:00:00,12:00 AM,40514354,1.867498994,-0.133113027,-0.133113027,0,0.011116028,0.144229054,0.144229054,0.162153006,1.734385967,1.734385967,1.878615022,1.716462016,Negative Impact
WIKEN-USD,13-07-2023,00:00:00,12:00 AM,233320,0.005958,0.000317,0.000317,0,0.000463,0.000146,0.000146,0.000524,0.006275,0.006275,0.006421,0.005897,Positive Impact
TROY-USD,17-08-2021,00:00:00,12:00 AM,6061509,0.009862,-0.000868,-0.000868,0,0.000458,0.001326,0.001326,0.001458,0.008994,0.008994,0.01032,0.008862,Negative Impact
NRG-USD,26-03-2021,00:00:00,12:00 AM,4760306,2.64518404,0.596523046,0.596523046,0,0.627615929,0.031092882,0.031092882,0.635355949,3.241707087,3.241707087,3.272799969,2.637444019,Positive Impact
CTCN-USD,21-01-2021,00:00:00,12:00 AM,47787,0.442739993,0.05636701,0.05636701,0,0.165411025,0.109044015,0.109044015,0.238261014,0.499107003,0.499107003,0.608151019,0.369890004,Positive Impact
KSP-USD,23-09-2024,00:00:00,12:00 AM,70742,0.252391994,-0.00327599,-0.00327599,0,0.007808,0.01108399,0.01108399,0.011548996,0.249116004,0.249116004,0.260199994,0.248650998,Negative Impact
BSV-USD,16-09-2022,00:00:00,12:00 AM,63440385,51.75411224,0.16463089,0.16463089,0,0.706329346,0.541698456,0.541698456,1.486721039,51.91874313,51.91874313,52.46044159,50.97372055,Positive Impact
AOG-USD,10-10-2020,00:00:00,12:00 AM,107454,0.106680997,0.005591005,0.005591005,0,0.005657002,6.60E-05,6.60E-05,0.006461002,0.112272002,0.112272002,0.112337999,0.105876997,Positive Impact
ADA-USD,02-01-2025,00:00:00,12:00 AM,1199916914,0.917653978,0.043691039,0.043691039,0,0.06142801,0.017736971,0.017736971,0.061484993,0.961345017,0.961345017,0.979081988,0.917596996,Positive Impact
SNC-USD,12-11-2017,00:00:00,12:00 AM,309204,0.034263,-0.004865,-0.004865,0,0.001718,0.006583,0.006583,0.008925,0.029398,0.029398,0.035980999,0.027055999,Negative Impact
RGT-USD,31-12-2020,00:00:00,12:00 AM,248099,0.335009009,0.011712998,0.011712998,0,0.05686298,0.045149982,0.045149982,0.06565398,0.346722007,0.346722007,0.391871989,0.326218009,Positive Impact
BTCB20721-USD,20-08-2024,00:00:00,12:00 AM,10321116,59509.32813,-382.8046875,-382.8046875,0,1851.535156,2234.339844,2234.339844,2741.449219,59126.52344,59126.52344,61360.86328,58619.41406,Negative Impact
EURC-USD,19-11-2024,00:00:00,12:00 AM,38956043,1.053640008,0.006271958,0.006271958,0,0.012609959,0.006338,0.006338,0.014938951,1.059911966,1.059911966,1.066249967,1.051311016,Positive Impact
CTC-USD,19-03-2023,00:00:00,12:00 AM,5620495,0.397096992,-0.004045993,-0.004045993,0,0.002452016,0.006498009,0.006498009,0.010951996,0.393050998,0.393050998,0.399549007,0.388597012,Negative Impact
TRAC-USD,13-03-2025,00:00:00,12:00 AM,9359055,0.376040012,-0.019899011,-0.019899011,0,0.017080992,0.036980003,0.036980003,0.040215999,0.356141001,0.356141001,0.393121004,0.352905005,Negative Impact
APX-USD,12-06-2024,00:00:00,12:00 AM,431973,0.058467001,0.000432998,0.000432998,0,0.001931999,0.001499001,0.001499001,0.002733,0.058899999,0.058899999,0.060399,0.057666,Positive Impact
SD-USD,19-01-2022,00:00:00,12:00 AM,3178,0.00173,-2.00E-05,-2.00E-05,0,6.30E-05,8.30E-05,8.30E-05,8.80E-05,0.00171,0.00171,0.001793,0.001705,Negative Impact
AUCTION-USD,20-04-2024,00:00:00,12:00 AM,13526294,17.57164955,0.891405106,0.891405106,0,1.271621704,0.380216599,0.380216599,1.433330536,18.46305466,18.46305466,18.84327126,17.40994072,Positive Impact
OPTI23794-USD,18-04-2023,00:00:00,12:00 AM,2003851,0.421959013,-0.016492009,-0.016492009,0,0.050859988,0.067351997,0.067351997,0.118597001,0.405467004,0.405467004,0.472819,0.354222,Negative Impact
TKS-USD,27-01-2018,00:00:00,12:00 AM,53630,5.26473999,0.145259857,0.145259857,0,0.341879845,0.196619987,0.196619987,0.545249939,5.409999847,5.409999847,5.606619835,5.061369896,Positive Impact
WAVAX-USD,18-11-2023,00:00:00,12:00 AM,60108536,21.97900391,-0.004119873,-0.004119873,0,0.614555359,0.618675232,0.618675232,2.30175972,21.97488403,21.97488403,22.59355927,20.29179955,Negative Impact
MU,13-12-2023,14:30:00,2:30 PM,11629900,78.30000305,1.489997864,1.04434967,0.445648193,1.969993591,0.479995728,0.925643921,2.239997864,79.79000092,79.34435272,80.26999664,78.02999878,Positive Impact
BXX-USD,17-05-2022,00:00:00,12:00 AM,12722,0.030699,0.000437001,0.000437001,0,0.001525,0.001087999,0.001087999,0.002961,0.031136001,0.031136001,0.032224,0.029262999,Positive Impact
NETVR-USD,16-02-2025,00:00:00,12:00 AM,324988,0.046555001,0.00073,0.00073,0,0.00124,0.00051,0.00051,0.002057001,0.047285002,0.047285002,0.047795001,0.045738,Positive Impact
ALGO-USD,22-03-2022,00:00:00,12:00 AM,384824564,0.825562,-0.000959992,-0.000959992,0,0.024464011,0.025424004,0.025424004,0.044521987,0.824602008,0.824602008,0.850026011,0.805504024,Negative Impact
KSP-USD,31-05-2022,00:00:00,12:00 AM,1610580,1.713500977,0.080193043,0.080193043,0,0.082027078,0.001834035,0.001834035,0.082027078,1.793694019,1.793694019,1.795528054,1.713500977,Positive Impact
AURA21532-USD,13-04-2024,00:00:00,12:00 AM,75879,0.627704024,-0.035700023,-0.035700023,0,0.016094983,0.051795006,0.051795006,0.051801026,0.592004001,0.592004001,0.643799007,0.591997981,Negative Impact
BLENDR-USD,22-06-2024,00:00:00,12:00 AM,653922,0.631835997,-0.050237,-0.050237,0,0.021219015,0.071456015,0.071456015,0.075224042,0.581598997,0.581598997,0.653055012,0.57783097,Negative Impact
BRWL-USD,13-01-2025,00:00:00,12:00 AM,158371,0.001809,-8.30E-05,-8.30E-05,0,2.40E-05,0.000107,0.000107,0.000124,0.001726,0.001726,0.001833,0.001709,Negative Impact
HEZ-USD,25-09-2021,00:00:00,12:00 AM,2016554,4.778964996,-0.044778824,-0.044778824,0,0.01283884,0.057617664,0.057617664,0.148333073,4.734186172,4.734186172,4.791803837,4.643470764,Negative Impact
SOFI-USD,11-05-2023,00:00:00,12:00 AM,294727,0.074740998,-0.000590995,-0.000590995,0,0.000491999,0.001082994,0.001082994,0.002559997,0.074150003,0.074150003,0.075232998,0.072673,Negative Impact
COOK-USD,05-03-2023,00:00:00,12:00 AM,47447,0.000293,1.00E-05,1.00E-05,0,2.30E-05,1.30E-05,1.30E-05,2.30E-05,0.000303,0.000303,0.000316,0.000293,Negative Impact
ANKR-USD,08-07-2020,00:00:00,12:00 AM,3892241,0.003411,5.20E-05,5.20E-05,0,0.000113,6.10E-05,6.10E-05,0.000218,0.003463,0.003463,0.003524,0.003306,Negative Impact
BTRST-USD,16-12-2024,00:00:00,12:00 AM,353202,0.516303003,-0.02134499,-0.02134499,0,0.005810976,0.027155966,0.027155966,0.02828899,0.494958013,0.494958013,0.522113979,0.493824989,Negative Impact
TOKE-USD,03-07-2022,00:00:00,12:00 AM,609515,1.043192983,0.035560966,0.035560966,0,0.046069026,0.01050806,0.01050806,0.04935801,1.078753948,1.078753948,1.089262009,1.039903998,Positive Impact
WONE-USD,02-11-2021,00:00:00,12:00 AM,0,0.324276,-0.000714004,-0.000714004,0,0.02105701,0.021771014,0.021771014,0.026626021,0.323561996,0.323561996,0.34533301,0.318706989,Negative Impact
ASK-USD,15-02-2025,00:00:00,12:00 AM,1117,0.000219,-4.00E-06,-4.00E-06,0,1.00E-06,5.00E-06,5.00E-06,9.00E-06,0.000215,0.000215,0.00022,0.000211,Negative Impact
BCA-USD,22-09-2019,00:00:00,12:00 AM,630,0.061478,0.010911997,0.010911997,0,0.023213003,0.012301005,0.012301005,0.023690004,0.072389998,0.072389998,0.084691003,0.061000999,Positive Impact
BCA-USD,01-06-2018,00:00:00,12:00 AM,19425,0.84652102,0.048256993,0.048256993,0,0.060689986,0.012432992,0.012432992,0.083799005,0.894778013,0.894778013,0.907211006,0.823412001,Positive Impact
XNO-USD,07-07-2023,00:00:00,12:00 AM,4773689,0.714990973,0.029770017,0.029770017,0,0.107804,0.078033984,0.078033984,0.109756947,0.74476099,0.74476099,0.822794974,0.713038027,Positive Impact
LOCUS-USD,13-02-2022,00:00:00,12:00 AM,479188,0.029282,0.000713,0.000713,0,0.000732999,2.00E-05,2.00E-05,0.001420999,0.029995,0.029995,0.030014999,0.028594,Positive Impact
AQT-USD,24-07-2023,00:00:00,12:00 AM,6749098,0.99594599,0.020821035,0.020821035,0,0.038502991,0.017681956,0.017681956,0.042500973,1.016767025,1.016767025,1.034448981,0.991948009,Positive Impact
VRTX-USD,27-01-2024,00:00:00,12:00 AM,1716141,0.253381014,-0.000194013,-0.000194013,0,0.008552998,0.008747011,0.008747011,0.011160016,0.253187001,0.253187001,0.261934012,0.250773996,Negative Impact
XYO-USD,16-09-2021,00:00:00,12:00 AM,45646929,0.041669,-0.00609,-0.00609,0,0.001104001,0.007194001,0.007194001,0.007194001,0.035579,0.035579,0.042773001,0.035579,Negative Impact
CUBE-USD,30-11-2023,00:00:00,12:00 AM,11996,0.858160019,0.00504899,0.00504899,0,0.006027997,0.000979006,0.000979006,0.011907995,0.863209009,0.863209009,0.864188015,0.852280021,Positive Impact
PDT-USD,24-05-2023,00:00:00,12:00 AM,0,0.064297996,0,0,0,0,0,0,0,0.064297996,0.064297996,0.064297996,0.064297996,No Impact
SPECTRE-USD,04-03-2025,00:00:00,12:00 AM,128128,2.084359884,-0.012504816,-0.012504816,0,0.02561903,0.038123846,0.038123846,0.183210969,2.071855068,2.071855068,2.109978914,1.926767945,Negative Impact
